,Month,All Fuels/Thousand Megawatthours
232,Jun-02,341023.144
233,May-02,307674.569
234,Apr-02,289848.253
235,Mar-02,302549.011
236,Feb-02,281825.712
237,Jan-02,319941.476
238,Dec-01,305496.328
239,Nov-01,278933.942
240,Oct-01,294733.613
241,Sep-01,306928.866
242,Aug-01,370532.828
243,Jul-01,357613.7
244,Jun-01,327693.978
245,May-01,300491.621
246,Apr-01,278078.871
247,Mar-01,300706.544
248,Feb-01,282940.198
249,Jan-01,332493.16
