,Date,R/Revenue/Thousand Dollars,R/Sales/Megawatthours,R/Customers/Count,R/Price/Cents/kWh,C/Revenue/Thousand Dollars,C/Sales/Megawatthours,C/Customers/Count,C/Price/Cents/kWh,I/Revenue/Thousand Dollars,I/Sales/Megawatthours,I/Customers/Count,I/Price/Cents/kWh,T/Revenue/Thousand Dollars,T/Sales/Megawatthours,T/Customers/Count,T/Price/Cents/kWh,O/Revenue/Thousand Dollars,O/Sales/Megawatthours,O/Customers/Count,O/Price/Cents/kWh,T/Revenue/Thousand Dollars.1,T/Sales/Megawatthours.1,T/Customers/Count.1,TPrice/Cents/kWh,State,Data Status
286,1990-06-28,173863.0,1573962.0,,11.05,217333.0,2293143.0,,9.48,99602.0,1301334.0,,7.65,,,,,6265.0,32713.0,,19.15,497064.0,5201153.0,,9.56,NJ,Final
287,1990-06-28,26923.0,295987.0,,9.1,34426.0,408444.0,,8.43,19049.0,364350.0,,5.23,,,,,8529.0,143116.0,,5.96,88926.0,1211897.0,,7.34,NM,Final
288,1990-06-28,31544.0,559962.0,,5.63,20642.0,340028.0,,6.07,26578.0,534478.0,,4.97,,,,,3050.0,70478.0,,4.33,81815.0,1504946.0,,5.44,NV,Final
289,1990-06-28,321917.0,2765582.0,,11.64,405159.0,3769552.0,,10.75,156483.0,2702923.0,,5.79,,,,,73812.0,951317.0,,7.76,957371.0,10189374.0,,9.4,NY,Final
290,1990-06-28,246808.0,2866408.0,,8.61,189325.0,2455402.0,,7.71,233636.0,5844646.0,,4.0,,,,,23439.0,369367.0,,6.35,693208.0,11535824.0,,6.01,OH,Final
291,1990-06-28,116451.0,1627447.0,,7.16,71467.0,1113418.0,,6.42,40444.0,1026063.0,,3.94,,,,,11480.0,194182.0,,5.91,239843.0,3961111.0,,6.05,OK,Final
292,1990-06-28,45076.0,972414.0,,4.64,41205.0,878580.0,,4.69,38211.0,1254646.0,,3.05,,,,,3431.0,73307.0,,4.68,127923.0,3178947.0,,4.02,OR,Final
293,1990-06-28,250699.0,2595658.0,,9.66,192733.0,2285814.0,,8.43,235058.0,3903377.0,,6.02,,,,,12478.0,113257.0,,11.02,690968.0,8898107.0,,7.77,PA,Final
294,1990-06-28,17411.0,170091.0,,10.24,17908.0,195278.0,,9.17,9581.0,109463.0,,8.75,,,,,1463.0,14696.0,,9.96,46364.0,489528.0,,9.47,RI,Final
295,1990-06-28,103720.0,1425393.0,,7.28,64256.0,1050948.0,,6.11,94911.0,2140328.0,,4.43,,,,,3695.0,66573.0,,5.55,266582.0,4683243.0,,5.69,SC,Final
296,1990-06-28,14395.0,191340.0,,7.52,7378.0,104899.0,,7.03,6618.0,140030.0,,4.73,,,,,1077.0,23679.0,,4.55,29468.0,459949.0,,6.41,SD,Final
297,1990-06-28,121330.0,2124093.0,,5.71,62997.0,1042617.0,,6.04,143815.0,3056434.0,,4.71,,,,,5343.0,76102.0,,7.02,333486.0,6299247.0,,5.29,TN,Final
298,1990-06-28,595341.0,8268505.0,,7.2,335514.0,5701489.0,,5.88,279592.0,7367587.0,,3.79,,,,,45864.0,765266.0,,5.99,1256312.0,22102847.0,,5.68,TX,Final
299,1990-06-28,22904.0,316384.0,,7.24,24993.0,384085.0,,6.51,19810.0,505599.0,,3.92,,,,,4073.0,88674.0,,4.59,71781.0,1294742.0,,5.54,UT,Final
300,1990-06-28,174223.0,2169326.0,,8.03,108258.0,1775604.0,,6.1,59456.0,1405464.0,,4.23,,,,,36806.0,700312.0,,5.26,378744.0,6050706.0,,6.26,VA,Final
301,1990-06-28,10516.0,123230.0,,8.53,8807.0,116380.0,,7.57,6420.0,110981.0,,5.78,,,,,387.0,3110.0,,12.44,26129.0,353701.0,,7.39,VT,Final
302,1990-06-28,79884.0,1892914.0,,4.22,53877.0,1336254.0,,4.03,75112.0,3370274.0,,2.23,,,,,9247.0,320057.0,,2.89,218119.0,6919498.0,,3.15,WA,Final
303,1990-06-28,84654.0,1254647.0,,6.75,63035.0,1081200.0,,5.83,65422.0,1649850.0,,3.97,,,,,3735.0,53831.0,,6.94,216846.0,4039529.0,,5.37,WI,Final
304,1990-06-28,31467.0,516661.0,,6.09,21929.0,408315.0,,5.37,31459.0,886651.0,,3.55,,,,,628.0,6985.0,,8.99,85482.0,1818613.0,,4.7,WV,Final
305,1990-06-28,7363.0,119076.0,,6.18,9138.0,175946.0,,5.19,21618.0,622302.0,,3.47,,,,,1577.0,18279.0,,8.63,39695.0,935603.0,,4.24,WY,Final
